size,"sep_size=1,type=set","sep_size=32,type=set","sep_size=128,type=set","sep_size=1024,type=set","sep_size=1,type=vec","sep_size=32,type=vec","sep_size=128,type=vec","sep_size=1024,type=vec"
1024.0,0.00284121,6.79752,17.6387,26.307299999999998,0.000433883,0.013979,0.0561189,0.476666
4096.0,0.0120475,6.73611,17.5152,26.967599999999997,0.0017208699999999998,0.0567532,0.235674,1.8067199999999999
16384.0,0.061659399999999996,6.978669999999999,18.0875,26.246,0.00687741,0.225842,0.9528939999999999,7.1348199999999995
65536.0,0.24991,8.06705,18.0048,27.290499999999998,0.027525599999999997,0.90642,3.81528,28.3117
262144.0,0.9780129999999999,9.70861,18.3905,29.057299999999998,0.11201599999999999,3.62227,15.303799999999999,113.28099999999999
1048580.0,6.96294,18.0889,26.2156,36.2648,0.46259,14.512799999999999,60.9358,455.03499999999997
